Crate,Algorithm,Coverage
Pleco,Random Search,0.26
Pleco,Random Search,0.29
Pleco,Random Search,0.25
Pleco,Random Search,0.3
Pleco,Random Search,0.3
Pleco,Random Search,0.3
Pleco,Random Search,0.25
Pleco,Random Search,0.28
Pleco,Random Search,0.27
Pleco,Random Search,0.29
Pleco,Random Search,0.26
Pleco,Random Search,0.29
Pleco,Random Search,0.26
Pleco,Random Search,0.27
Pleco,Random Search,0.25
Pleco,Random Search,0.26
Pleco,Random Search,0.3
Pleco,Random Search,0.3
Pleco,Random Search,0.28
Pleco,Random Search,0.27
Pleco,Random Search,0.25
Pleco,Random Search,0.25
Pleco,Random Search,0.3
Pleco,Random Search,0.3
Pleco,Random Search,0.26
Pleco,Random Search,0.28
Pleco,Random Search,0.29
Pleco,Random Search,0.26
Pleco,Random Search,0.27
Pleco,Random Search,0.29
Pleco,RustyUnit,0.32
Pleco,RustyUnit,0.32
Pleco,RustyUnit,0.26
Pleco,RustyUnit,0.3
Pleco,RustyUnit,0.36
Pleco,RustyUnit,0.29
Pleco,RustyUnit,0.39
Pleco,RustyUnit,0.33
Pleco,RustyUnit,0.33
Pleco,RustyUnit,0.33
Pleco,RustyUnit,0.32
Pleco,RustyUnit,0.33
Pleco,RustyUnit,0.39
Pleco,RustyUnit,0.33
Pleco,RustyUnit,0.35
Pleco,RustyUnit,0.29
Pleco,RustyUnit,0.32
Pleco,RustyUnit,0.25
Pleco,RustyUnit,0.39
Pleco,RustyUnit,0.26
Pleco,RustyUnit,0.39
Pleco,RustyUnit,0.26
Pleco,RustyUnit,0.3
Pleco,RustyUnit,0.29
Pleco,RustyUnit,0.27
Pleco,RustyUnit,0.39
Pleco,RustyUnit,0.27
Pleco,RustyUnit,0.26
Pleco,RustyUnit,0.24
Pleco,RustyUnit,0.34
