Crate,Algorithm,Coverage
PriorityQueue,Random Search,0.24
PriorityQueue,Random Search,0.27
PriorityQueue,Random Search,0.29
PriorityQueue,Random Search,0.25
PriorityQueue,Random Search,0.25
PriorityQueue,Random Search,0.29
PriorityQueue,Random Search,0.28
PriorityQueue,Random Search,0.24
PriorityQueue,Random Search,0.25
PriorityQueue,Random Search,0.27
PriorityQueue,Random Search,0.25
PriorityQueue,Random Search,0.29
PriorityQueue,Random Search,0.26
PriorityQueue,Random Search,0.25
PriorityQueue,Random Search,0.29
PriorityQueue,Random Search,0.28
PriorityQueue,Random Search,0.28
PriorityQueue,Random Search,0.28
PriorityQueue,Random Search,0.29
PriorityQueue,Random Search,0.26
PriorityQueue,Random Search,0.25
PriorityQueue,Random Search,0.24
PriorityQueue,Random Search,0.26
PriorityQueue,Random Search,0.25
PriorityQueue,Random Search,0.24
PriorityQueue,Random Search,0.26
PriorityQueue,Random Search,0.27
PriorityQueue,Random Search,0.28
PriorityQueue,Random Search,0.28
PriorityQueue,Random Search,0.27
PriorityQueue,RustyUnit,0.24
PriorityQueue,RustyUnit,0.2
PriorityQueue,RustyUnit,0.23
PriorityQueue,RustyUnit,0.35
PriorityQueue,RustyUnit,0.28
PriorityQueue,RustyUnit,0.29
PriorityQueue,RustyUnit,0.33
PriorityQueue,RustyUnit,0.33
PriorityQueue,RustyUnit,0.23
PriorityQueue,RustyUnit,0.29
PriorityQueue,RustyUnit,0.27
PriorityQueue,RustyUnit,0.29
PriorityQueue,RustyUnit,0.3
PriorityQueue,RustyUnit,0.23
PriorityQueue,RustyUnit,0.21
PriorityQueue,RustyUnit,0.26
PriorityQueue,RustyUnit,0.29
PriorityQueue,RustyUnit,0.2
PriorityQueue,RustyUnit,0.3
PriorityQueue,RustyUnit,0.33
PriorityQueue,RustyUnit,0.23
PriorityQueue,RustyUnit,0.22
PriorityQueue,RustyUnit,0.35
PriorityQueue,RustyUnit,0.31
PriorityQueue,RustyUnit,0.32
PriorityQueue,RustyUnit,0.35
PriorityQueue,RustyUnit,0.28
PriorityQueue,RustyUnit,0.2
PriorityQueue,RustyUnit,0.2
PriorityQueue,RustyUnit,0.28
