Crate,Algorithm,Coverage
fixed,Random Search,0.33
fixed,Random Search,0.32
fixed,Random Search,0.31
fixed,Random Search,0.33
fixed,Random Search,0.34
fixed,Random Search,0.31
fixed,Random Search,0.34
fixed,Random Search,0.33
fixed,Random Search,0.33
fixed,Random Search,0.3
fixed,Random Search,0.32
fixed,Random Search,0.35
fixed,Random Search,0.33
fixed,Random Search,0.33
fixed,Random Search,0.3
fixed,Random Search,0.34
fixed,Random Search,0.32
fixed,Random Search,0.33
fixed,Random Search,0.35
fixed,Random Search,0.32
fixed,Random Search,0.33
fixed,Random Search,0.33
fixed,Random Search,0.35
fixed,Random Search,0.34
fixed,Random Search,0.32
fixed,Random Search,0.34
fixed,Random Search,0.33
fixed,Random Search,0.32
fixed,Random Search,0.35
fixed,Random Search,0.3
fixed,RustyUnit,0.36
fixed,RustyUnit,0.3
fixed,RustyUnit,0.39
fixed,RustyUnit,0.38
fixed,RustyUnit,0.39
fixed,RustyUnit,0.39
fixed,RustyUnit,0.28
fixed,RustyUnit,0.36
fixed,RustyUnit,0.33
fixed,RustyUnit,0.3
fixed,RustyUnit,0.31
fixed,RustyUnit,0.36
fixed,RustyUnit,0.34
fixed,RustyUnit,0.32
fixed,RustyUnit,0.38
fixed,RustyUnit,0.35
fixed,RustyUnit,0.33
fixed,RustyUnit,0.38
fixed,RustyUnit,0.31
fixed,RustyUnit,0.33
fixed,RustyUnit,0.38
fixed,RustyUnit,0.37
fixed,RustyUnit,0.28
fixed,RustyUnit,0.34
fixed,RustyUnit,0.32
fixed,RustyUnit,0.31
fixed,RustyUnit,0.31
fixed,RustyUnit,0.39
fixed,RustyUnit,0.33
fixed,RustyUnit,0.34
