Crate,Algorithm,Coverage
ibig,Random Search,0.42
ibig,Random Search,0.35
ibig,Random Search,0.42
ibig,Random Search,0.4
ibig,Random Search,0.35
ibig,Random Search,0.43
ibig,Random Search,0.44
ibig,Random Search,0.44
ibig,Random Search,0.4
ibig,Random Search,0.43
ibig,Random Search,0.38
ibig,Random Search,0.45
ibig,Random Search,0.45
ibig,Random Search,0.39
ibig,Random Search,0.4
ibig,Random Search,0.45
ibig,Random Search,0.44
ibig,Random Search,0.35
ibig,Random Search,0.38
ibig,Random Search,0.44
ibig,Random Search,0.37
ibig,Random Search,0.41
ibig,Random Search,0.41
ibig,Random Search,0.37
ibig,Random Search,0.39
ibig,Random Search,0.37
ibig,Random Search,0.41
ibig,Random Search,0.44
ibig,Random Search,0.43
ibig,Random Search,0.4
ibig,RustyUnit,0.41
ibig,RustyUnit,0.44
ibig,RustyUnit,0.45
ibig,RustyUnit,0.44
ibig,RustyUnit,0.43
ibig,RustyUnit,0.4
ibig,RustyUnit,0.46
ibig,RustyUnit,0.44
ibig,RustyUnit,0.41
ibig,RustyUnit,0.46
ibig,RustyUnit,0.41
ibig,RustyUnit,0.38
ibig,RustyUnit,0.4
ibig,RustyUnit,0.44
ibig,RustyUnit,0.45
ibig,RustyUnit,0.45
ibig,RustyUnit,0.38
ibig,RustyUnit,0.41
ibig,RustyUnit,0.39
ibig,RustyUnit,0.43
ibig,RustyUnit,0.42
ibig,RustyUnit,0.44
ibig,RustyUnit,0.4
ibig,RustyUnit,0.4
ibig,RustyUnit,0.39
ibig,RustyUnit,0.42
ibig,RustyUnit,0.4
ibig,RustyUnit,0.38
ibig,RustyUnit,0.38
ibig,RustyUnit,0.42
