Crate,Algorithm,Coverage
nom,Random Search,0.35
nom,Random Search,0.36
nom,Random Search,0.37
nom,Random Search,0.39
nom,Random Search,0.35
nom,Random Search,0.33
nom,Random Search,0.37
nom,Random Search,0.38
nom,Random Search,0.39
nom,Random Search,0.34
nom,Random Search,0.33
nom,Random Search,0.38
nom,Random Search,0.38
nom,Random Search,0.39
nom,Random Search,0.38
nom,Random Search,0.35
nom,Random Search,0.33
nom,Random Search,0.33
nom,Random Search,0.35
nom,Random Search,0.34
nom,Random Search,0.33
nom,Random Search,0.34
nom,Random Search,0.35
nom,Random Search,0.35
nom,Random Search,0.37
nom,Random Search,0.33
nom,Random Search,0.35
nom,Random Search,0.37
nom,Random Search,0.33
nom,Random Search,0.36
nom,RustyUnit,0.32
nom,RustyUnit,0.27
nom,RustyUnit,0.31
nom,RustyUnit,0.32
nom,RustyUnit,0.32
nom,RustyUnit,0.28
nom,RustyUnit,0.26
nom,RustyUnit,0.27
nom,RustyUnit,0.26
nom,RustyUnit,0.33
nom,RustyUnit,0.29
nom,RustyUnit,0.34
nom,RustyUnit,0.3
nom,RustyUnit,0.35
nom,RustyUnit,0.3
nom,RustyUnit,0.28
nom,RustyUnit,0.32
nom,RustyUnit,0.3
nom,RustyUnit,0.29
nom,RustyUnit,0.35
nom,RustyUnit,0.35
nom,RustyUnit,0.29
nom,RustyUnit,0.32
nom,RustyUnit,0.29
nom,RustyUnit,0.32
nom,RustyUnit,0.33
nom,RustyUnit,0.3
nom,RustyUnit,0.33
nom,RustyUnit,0.34
nom,RustyUnit,0.28
