Crate,Algorithm,Coverage
rstar,Random Search,0.41
rstar,Random Search,0.43
rstar,Random Search,0.38
rstar,Random Search,0.36
rstar,Random Search,0.38
rstar,Random Search,0.39
rstar,Random Search,0.41
rstar,Random Search,0.38
rstar,Random Search,0.36
rstar,Random Search,0.36
rstar,Random Search,0.39
rstar,Random Search,0.37
rstar,Random Search,0.36
rstar,Random Search,0.39
rstar,Random Search,0.42
rstar,Random Search,0.44
rstar,Random Search,0.42
rstar,Random Search,0.38
rstar,Random Search,0.36
rstar,Random Search,0.39
rstar,Random Search,0.36
rstar,Random Search,0.37
rstar,Random Search,0.39
rstar,Random Search,0.37
rstar,Random Search,0.43
rstar,Random Search,0.38
rstar,Random Search,0.39
rstar,Random Search,0.4
rstar,Random Search,0.36
rstar,Random Search,0.36
rstar,RustyUnit,0.4
rstar,RustyUnit,0.39
rstar,RustyUnit,0.4
rstar,RustyUnit,0.39
rstar,RustyUnit,0.35
rstar,RustyUnit,0.33
rstar,RustyUnit,0.31
rstar,RustyUnit,0.3
rstar,RustyUnit,0.33
rstar,RustyUnit,0.33
rstar,RustyUnit,0.3
rstar,RustyUnit,0.38
rstar,RustyUnit,0.33
rstar,RustyUnit,0.36
rstar,RustyUnit,0.31
rstar,RustyUnit,0.36
rstar,RustyUnit,0.29
rstar,RustyUnit,0.27
rstar,RustyUnit,0.32
rstar,RustyUnit,0.38
rstar,RustyUnit,0.32
rstar,RustyUnit,0.32
rstar,RustyUnit,0.27
rstar,RustyUnit,0.34
rstar,RustyUnit,0.32
rstar,RustyUnit,0.39
rstar,RustyUnit,0.39
rstar,RustyUnit,0.32
rstar,RustyUnit,0.34
rstar,RustyUnit,0.39
