Crate,Algorithm,Coverage
time,Random Search,0.21
time,Random Search,0.2
time,Random Search,0.2
time,Random Search,0.2
time,Random Search,0.21
time,Random Search,0.19
time,Random Search,0.22
time,Random Search,0.18
time,Random Search,0.18
time,Random Search,0.23
time,Random Search,0.21
time,Random Search,0.19
time,Random Search,0.19
time,Random Search,0.18
time,Random Search,0.22
time,Random Search,0.24
time,Random Search,0.22
time,Random Search,0.22
time,Random Search,0.18
time,Random Search,0.23
time,Random Search,0.19
time,Random Search,0.18
time,Random Search,0.22
time,Random Search,0.22
time,Random Search,0.19
time,Random Search,0.24
time,Random Search,0.19
time,Random Search,0.24
time,Random Search,0.2
time,Random Search,0.18
time,RustyUnit,0.22
time,RustyUnit,0.24
time,RustyUnit,0.24
time,RustyUnit,0.24
time,RustyUnit,0.19
time,RustyUnit,0.27
time,RustyUnit,0.28
time,RustyUnit,0.23
time,RustyUnit,0.21
time,RustyUnit,0.25
time,RustyUnit,0.25
time,RustyUnit,0.27
time,RustyUnit,0.21
time,RustyUnit,0.21
time,RustyUnit,0.21
time,RustyUnit,0.19
time,RustyUnit,0.27
time,RustyUnit,0.23
time,RustyUnit,0.23
time,RustyUnit,0.26
time,RustyUnit,0.25
time,RustyUnit,0.26
time,RustyUnit,0.25
time,RustyUnit,0.23
time,RustyUnit,0.21
time,RustyUnit,0.28
time,RustyUnit,0.19
time,RustyUnit,0.22
time,RustyUnit,0.19
time,RustyUnit,0.28
