Crate,Algorithm,Coverage
trying,Random Search,0.51
trying,Random Search,0.5
trying,Random Search,0.5
trying,Random Search,0.49
trying,Random Search,0.52
trying,Random Search,0.46
trying,Random Search,0.48
trying,Random Search,0.49
trying,Random Search,0.51
trying,Random Search,0.51
trying,Random Search,0.47
trying,Random Search,0.52
trying,Random Search,0.48
trying,Random Search,0.48
trying,Random Search,0.47
trying,Random Search,0.46
trying,Random Search,0.51
trying,Random Search,0.52
trying,Random Search,0.51
trying,Random Search,0.52
trying,Random Search,0.49
trying,Random Search,0.5
trying,Random Search,0.51
trying,Random Search,0.53
trying,Random Search,0.54
trying,Random Search,0.51
trying,Random Search,0.47
trying,Random Search,0.49
trying,Random Search,0.51
trying,Random Search,0.54
trying,RustyUnit,0.48
trying,RustyUnit,0.58
trying,RustyUnit,0.56
trying,RustyUnit,0.52
trying,RustyUnit,0.53
trying,RustyUnit,0.52
trying,RustyUnit,0.56
trying,RustyUnit,0.56
trying,RustyUnit,0.54
trying,RustyUnit,0.58
trying,RustyUnit,0.48
trying,RustyUnit,0.52
trying,RustyUnit,0.56
trying,RustyUnit,0.54
trying,RustyUnit,0.48
trying,RustyUnit,0.52
trying,RustyUnit,0.46
trying,RustyUnit,0.48
trying,RustyUnit,0.53
trying,RustyUnit,0.52
trying,RustyUnit,0.6
trying,RustyUnit,0.47
trying,RustyUnit,0.47
trying,RustyUnit,0.6
trying,RustyUnit,0.44
trying,RustyUnit,0.49
trying,RustyUnit,0.48
trying,RustyUnit,0.46
trying,RustyUnit,0.47
trying,RustyUnit,0.5
