Crate,Algorithm,Coverage
url,Random Search,0.31
url,Random Search,0.34
url,Random Search,0.34
url,Random Search,0.36
url,Random Search,0.36
url,Random Search,0.32
url,Random Search,0.3
url,Random Search,0.3
url,Random Search,0.37
url,Random Search,0.36
url,Random Search,0.32
url,Random Search,0.35
url,Random Search,0.32
url,Random Search,0.36
url,Random Search,0.35
url,Random Search,0.31
url,Random Search,0.37
url,Random Search,0.33
url,Random Search,0.32
url,Random Search,0.38
url,Random Search,0.38
url,Random Search,0.38
url,Random Search,0.34
url,Random Search,0.33
url,Random Search,0.34
url,Random Search,0.3
url,Random Search,0.32
url,Random Search,0.36
url,Random Search,0.33
url,Random Search,0.31
url,RustyUnit,0.45
url,RustyUnit,0.35
url,RustyUnit,0.35
url,RustyUnit,0.47
url,RustyUnit,0.35
url,RustyUnit,0.38
url,RustyUnit,0.45
url,RustyUnit,0.47
url,RustyUnit,0.37
url,RustyUnit,0.46
url,RustyUnit,0.44
url,RustyUnit,0.43
url,RustyUnit,0.45
url,RustyUnit,0.47
url,RustyUnit,0.35
url,RustyUnit,0.37
url,RustyUnit,0.35
url,RustyUnit,0.45
url,RustyUnit,0.37
url,RustyUnit,0.36
url,RustyUnit,0.38
url,RustyUnit,0.41
url,RustyUnit,0.47
url,RustyUnit,0.35
url,RustyUnit,0.45
url,RustyUnit,0.42
url,RustyUnit,0.39
url,RustyUnit,0.45
url,RustyUnit,0.43
url,RustyUnit,0.45
