Crate,Algorithm,Coverage
PriorityQueue,Random Search,0.24
PriorityQueue,Random Search,0.27
PriorityQueue,Random Search,0.29
PriorityQueue,Random Search,0.25
PriorityQueue,Random Search,0.25
PriorityQueue,Random Search,0.29
PriorityQueue,Random Search,0.28
PriorityQueue,Random Search,0.24
PriorityQueue,Random Search,0.25
PriorityQueue,Random Search,0.27
PriorityQueue,Random Search,0.25
PriorityQueue,Random Search,0.29
PriorityQueue,Random Search,0.26
PriorityQueue,Random Search,0.25
PriorityQueue,Random Search,0.29
PriorityQueue,Random Search,0.28
PriorityQueue,Random Search,0.28
PriorityQueue,Random Search,0.28
PriorityQueue,Random Search,0.29
PriorityQueue,Random Search,0.26
PriorityQueue,Random Search,0.25
PriorityQueue,Random Search,0.24
PriorityQueue,Random Search,0.26
PriorityQueue,Random Search,0.25
PriorityQueue,Random Search,0.24
PriorityQueue,Random Search,0.26
PriorityQueue,Random Search,0.27
PriorityQueue,Random Search,0.28
PriorityQueue,Random Search,0.28
PriorityQueue,Random Search,0.27
PriorityQueue,DynaMOSA,0.24
PriorityQueue,DynaMOSA,0.2
PriorityQueue,DynaMOSA,0.23
PriorityQueue,DynaMOSA,0.35
PriorityQueue,DynaMOSA,0.28
PriorityQueue,DynaMOSA,0.29
PriorityQueue,DynaMOSA,0.33
PriorityQueue,DynaMOSA,0.33
PriorityQueue,DynaMOSA,0.23
PriorityQueue,DynaMOSA,0.29
PriorityQueue,DynaMOSA,0.27
PriorityQueue,DynaMOSA,0.29
PriorityQueue,DynaMOSA,0.3
PriorityQueue,DynaMOSA,0.23
PriorityQueue,DynaMOSA,0.21
PriorityQueue,DynaMOSA,0.26
PriorityQueue,DynaMOSA,0.29
PriorityQueue,DynaMOSA,0.2
PriorityQueue,DynaMOSA,0.3
PriorityQueue,DynaMOSA,0.33
PriorityQueue,DynaMOSA,0.23
PriorityQueue,DynaMOSA,0.22
PriorityQueue,DynaMOSA,0.35
PriorityQueue,DynaMOSA,0.31
PriorityQueue,DynaMOSA,0.32
PriorityQueue,DynaMOSA,0.35
PriorityQueue,DynaMOSA,0.28
PriorityQueue,DynaMOSA,0.2
PriorityQueue,DynaMOSA,0.2
PriorityQueue,DynaMOSA,0.28
