crate,run,gen,mir_coverage,covered_targets,tests,tests_length
time,0,0,33.25350667122819,972,43,43.48837209302326
time,0,1,35.51146082791652,1038,62,47.12903225806452
time,0,2,36.36674649332877,1063,74,46.71621621621622
time,1,0,30.653438248374957,896,47,40.361702127659576
time,0,3,37.49572357167294,1096,86,48.45348837209303
time,1,1,32.8771809784468,961,67,43.44776119402985
time,0,4,39.24050632911392,1147,95,50.126315789473686
time,1,2,35.408826548067054,1035,88,45.04545454545455
time,2,0,33.2192952446117,971,40,41.525
time,1,3,37.119397878891554,1085,95,48.747368421052634
time,0,5,40.13000342114266,1173,103,50.320388349514566
time,2,1,36.53780362641122,1068,66,47.53030303030303
time,3,0,32.364009579199454,946,42,42.5
time,1,4,37.76941498460486,1104,102,49.990196078431374
time,2,2,37.52993499828943,1097,76,50.63157894736842
time,0,6,41.3616147793363,1209,112,51.848214285714285
time,3,1,34.07458091002395,996,59,42.23728813559322
time,1,5,38.453643516934655,1124,110,47.53636363636364
time,2,3,39.3089291823469,1149,87,49.71264367816092
time,0,7,42.148477591515565,1232,120,52.25
time,3,2,36.19568936024633,1058,78,43.87179487179487
time,2,4,40.09579199452617,1172,93,50.043010752688176
time,1,6,40.26684912760862,1177,112,47.142857142857146
time,3,3,37.35887786520698,1092,88,42.72727272727273
time,0,8,42.69586041737941,1248,125,52.12
time,2,5,40.81423195347246,1193,103,49.63106796116505
time,1,7,40.6773862470065,1189,117,47.547008547008545
time,3,4,38.79575778309955,1134,97,42.72164948453608
time,2,6,41.25898049948683,1206,109,47.62385321100918
time,0,9,42.90112897707834,1254,128,52.1015625
time,3,5,39.103660622647965,1143,104,42.65384615384615
time,1,8,40.74580910023948,1191,119,47.61344537815126
time,2,7,42.148477591515565,1232,117,48.547008547008545
time,0,10,43.24324324324324,1264,133,51.31578947368421
time,3,6,39.993157714676705,1169,112,44.49107142857143
time,1,9,40.88265480670544,1195,119,47.45378151260504
time,2,8,42.490591857680464,1242,118,48.440677966101696
time,0,11,43.31166609647622,1266,136,51.279411764705884
time,3,7,40.30106055422511,1178,119,44.10084033613445
time,2,9,42.76428327061239,1250,123,48.86991869918699
time,1,10,42.080054738282584,1230,125,48.808
time,0,12,43.65378036264112,1276,141,51.659574468085104
time,3,8,40.50632911392405,1184,124,44.62096774193548
time,2,10,43.277454669859736,1265,129,49.27131782945737
time,1,11,42.45638043106398,1241,128,47.796875
time,0,13,44.030106055422515,1287,147,52.795918367346935
time,3,9,40.88265480670544,1195,129,45.25581395348837
time,2,11,43.7222032158741,1278,134,49.417910447761194
time,1,12,42.83270612384536,1252,132,48.984848484848484
time,0,14,44.13274033527198,1290,149,52.75167785234899
time,2,12,44.26958604173794,1294,138,49.905797101449274
time,3,10,42.11426616489908,1231,139,46.510791366906474
time,1,13,43.24324324324324,1264,135,49.1037037037037
time,0,15,44.16695176188847,1291,150,52.36
time,2,13,44.372220321587406,1297,140,49.22142857142857
time,3,11,42.798494697228875,1251,144,47.09027777777778
time,1,14,43.44851180294218,1270,138,49.05072463768116
time,0,16,44.57748888128635,1303,155,51.458064516129035
time,2,14,44.4064317482039,1298,142,48.99295774647887
time,3,12,43.92747177557304,1284,148,47.108108108108105
time,0,17,44.64591173451933,1305,156,51.35897435897436
time,1,15,43.99589462880602,1286,141,48.333333333333336
time,2,15,44.64591173451933,1305,146,48.513698630136986
time,3,13,43.92747177557304,1284,149,46.92617449664429
time,0,18,44.714334587752305,1307,156,50.97435897435897
time,1,16,43.99589462880602,1286,140,48.16428571428571
time,2,16,44.7485460143688,1308,151,48.35761589403973
time,3,14,43.92747177557304,1284,149,46.92617449664429
time,0,19,44.714334587752305,1307,156,50.97435897435897
time,1,17,43.99589462880602,1286,140,48.01428571428571
time,2,17,44.98802600068423,1315,153,48.39869281045752
time,3,15,44.303797468354425,1295,153,47.287581699346404
time,0,20,44.91960314745125,1313,158,52.38607594936709
time,1,18,44.54327745466986,1302,144,48.5
time,2,18,44.98802600068423,1315,154,48.246753246753244
time,3,16,44.303797468354425,1295,152,47.1578947368421
time,1,19,44.54327745466986,1302,144,48.423611111111114
time,0,21,44.95381457406774,1314,159,52.62264150943396
time,2,19,45.05644885391721,1317,155,48.16774193548387
time,1,20,45.05644885391721,1317,149,48.42953020134228
time,0,22,45.05644885391721,1317,162,51.89506172839506
time,3,17,45.53540882654807,1331,153,47.50326797385621
time,2,20,45.05644885391721,1317,155,47.92258064516129
time,1,21,45.603831679781045,1333,152,48.223684210526315
time,2,21,45.12487170715019,1319,157,47.732484076433124
time,0,23,45.05644885391721,1317,162,51.58024691358025
time,3,18,46.32227163872734,1354,160,48.2
time,1,22,45.70646595963051,1336,155,48.354838709677416
time,2,22,45.26171741361615,1323,158,47.177215189873415
time,0,24,45.432774546698596,1328,165,51.32121212121212
time,3,19,46.493328771809786,1359,164,48.40853658536585
time,1,23,45.70646595963051,1336,158,48.36708860759494
time,2,23,45.26171741361615,1323,160,46.88125
time,0,25,45.53540882654807,1331,167,51.58682634730539
time,3,20,46.52754019842627,1360,168,47.964285714285715
time,1,24,45.843311666096476,1340,159,48.301886792452834
time,0,26,45.63804310639753,1334,172,51.31976744186046
time,2,24,45.432774546698596,1328,162,47.03086419753087
time,3,21,46.93807731782415,1372,172,48.23255813953488
time,2,25,45.74067738624701,1337,167,46.64670658682635
time,0,27,45.63804310639753,1334,172,50.77325581395349
time,1,25,45.843311666096476,1340,159,48.295597484276726
time,3,22,47.28019158398905,1382,175,48.777142857142856
time,0,28,45.91173451932946,1342,178,50.96629213483146
time,2,26,46.014368799178925,1345,171,47.39181286549707
time,1,26,45.843311666096476,1340,158,47.39873417721519
time,3,23,47.41703729045501,1386,180,48.86666666666667
time,0,29,46.39069449196032,1356,181,51.386740331491715
time,2,27,46.253848785494355,1352,172,47
time,1,27,45.91173451932946,1342,159,47.509433962264154
time,3,24,47.48546014368799,1388,182,48.90659340659341
time,2,28,47.96442011631885,1402,177,47.52542372881356
time,0,30,46.63017447827574,1363,181,51.19889502762431
time,1,28,46.15121450564488,1349,161,47.81987577639752
time,3,25,47.51967157030448,1389,185,48.79459459459459
time,2,29,48.03284296955183,1404,184,47.52717391304348
time,0,31,47.17755730413958,1379,187,52.716577540106954
time,1,29,46.15121450564488,1349,162,47.641975308641975
time,3,26,47.724940130003425,1395,189,49.84126984126984
time,2,30,48.409168662333215,1415,188,47.5
time,0,32,47.21176873075607,1380,188,52.68617021276596
time,1,30,46.28806021211084,1353,164,47.75
time,3,27,47.7933629832364,1397,191,49.602094240837694
time,2,31,48.44338008894971,1416,190,47.589473684210525
time,0,33,47.62230585015395,1392,192,53.21875
time,1,31,46.52754019842627,1360,166,47.96987951807229
time,3,28,48.409168662333215,1415,196,50.01020408163265
time,2,32,48.68286007526514,1423,191,47.50785340314136
time,0,34,48.06705439616832,1405,195,52.92307692307692
time,1,32,46.86965446459118,1370,169,48.50887573964497
time,3,29,48.64864864864865,1422,198,50.121212121212125
time,2,33,48.75128292849812,1425,192,47.411458333333336
time,0,35,48.37495723571673,1414,196,52.58673469387755
time,1,33,47.04071159767362,1375,170,48.63529411764706
time,3,30,48.8197057817311,1427,200,50.07
time,2,34,48.92234006158056,1430,196,47.81122448979592
time,0,36,48.44338008894971,1416,197,53.01015228426396
time,1,34,47.1091344509066,1377,171,48.46783625730994
time,3,31,48.8197057817311,1427,201,49.60696517412935
time,2,35,49.02497434143004,1433,199,47.678391959798994
time,0,37,48.44338008894971,1416,197,52.96954314720812
time,1,35,47.314403010605545,1383,174,48.833333333333336
time,2,36,49.02497434143004,1433,198,47.16161616161616
time,3,32,48.95655148819706,1431,200,49.425
time,0,38,48.71707150188163,1424,203,52.86699507389162
time,1,36,47.314403010605545,1383,174,48.62068965517241
time,2,37,49.19603147451249,1438,201,47.114427860696516
time,3,33,48.95655148819706,1431,200,49.38
time,0,39,48.71707150188163,1424,204,52.86764705882353
time,1,37,47.314403010605545,1383,174,48.38505747126437
time,2,38,49.19603147451249,1438,203,46.88669950738916
time,3,34,49.02497434143004,1433,201,49.149253731343286
time,0,40,48.8197057817311,1427,205,52.95609756097561
time,3,35,49.12760862127951,1436,205,49.22439024390244
time,2,39,49.19603147451249,1438,203,46.76847290640394
time,1,38,47.38282586383853,1385,175,48.57714285714286
time,0,41,48.8197057817311,1427,202,53.024752475247524
time,2,40,49.36708860759494,1443,206,46.5873786407767
time,3,36,49.161820047896,1437,207,49.091787439613526
time,0,42,49.059185768046525,1434,204,53.588235294117645
time,1,39,47.41703729045501,1386,176,48.75568181818182
time,2,41,49.5039343140609,1447,208,46.47115384615385
time,3,37,49.298665754361956,1441,209,49.196172248803826
time,1,40,47.41703729045501,1386,178,48.48314606741573
time,0,43,49.12760862127951,1436,206,53.73300970873787
time,2,42,49.57235716729387,1449,209,46.717703349282296
time,1,41,47.41703729045501,1386,179,47.76536312849162
time,3,38,49.33287718097844,1442,210,49.114285714285714
time,0,44,49.12760862127951,1436,206,53.66990291262136
time,2,43,49.640780020526854,1451,211,46.89099526066351
time,1,42,47.4512487170715,1387,179,47.64804469273743
time,3,39,49.43551146082792,1445,212,48.929245283018865
time,0,45,49.161820047896,1437,207,53.70048309178744
time,2,44,49.67499144714335,1452,212,47.056603773584904
time,1,43,47.4512487170715,1387,179,47.63687150837989
time,3,40,49.43551146082792,1445,211,48.81990521327014
time,0,46,49.161820047896,1437,206,53.50970873786408
time,2,45,49.811837153609304,1456,213,46.779342723004696
time,1,44,47.58809442353746,1391,182,47.972527472527474
time,3,41,49.469722887444405,1446,212,48.943396226415096
time,0,47,49.26445432774547,1440,208,53.42788461538461
time,2,46,49.84604858022579,1457,213,46.774647887323944
time,1,45,47.93020868970236,1401,185,48.189189189189186
time,3,42,49.469722887444405,1446,212,48.87735849056604
time,0,48,49.298665754361956,1441,209,53.39712918660287
time,2,47,49.91447143345877,1459,214,46.626168224299064
time,1,46,47.93020868970236,1401,186,47.994623655913976
time,3,43,49.880260006842285,1458,216,49.782407407407405
time,0,49,49.36708860759494,1443,209,53.38755980861244
time,2,48,49.91447143345877,1459,215,46.57209302325582
time,1,47,48.03284296955183,1404,188,48.07446808510638
time,3,44,49.98289428669175,1461,218,49.76605504587156
time,0,50,49.538145740677386,1448,210,54.07142857142857
time,2,49,49.91447143345877,1459,216,46.532407407407405
time,1,48,48.64864864864865,1422,189,48.074074074074076
time,3,45,50.051317139924734,1463,221,49.64253393665158
time,0,51,49.67499144714335,1452,213,54.08920187793427
time,2,50,50.051317139924734,1463,217,46.944700460829495
time,1,49,48.64864864864865,1422,191,47.67015706806283
time,3,46,50.051317139924734,1463,221,49.6289592760181
time,0,52,49.67499144714335,1452,213,54.08920187793427
time,2,51,50.051317139924734,1463,217,46.85253456221198
time,1,50,48.64864864864865,1422,192,47.546875
time,3,47,50.25658569962368,1469,224,49.660714285714285
time,0,53,49.67499144714335,1452,214,54.09345794392523
time,2,52,50.11973999315772,1465,218,46.793577981651374
time,3,48,50.25658569962368,1469,224,49.64732142857143
time,1,51,48.8197057817311,1427,193,47.95854922279793
time,0,54,49.709202873759835,1453,215,53.93953488372093
time,2,53,50.22237427300718,1468,219,46.78082191780822
time,3,49,50.32500855285665,1471,226,49.92035398230089
time,1,52,48.92234006158056,1430,196,47.816326530612244
time,0,55,49.709202873759835,1453,215,53.73953488372093
time,2,54,50.22237427300718,1468,219,46.64383561643836
time,3,50,50.49606568593911,1476,229,50.26637554585153
time,1,53,49.059185768046525,1434,200,48.015
time,0,56,49.84604858022579,1457,217,53.705069124423964
time,2,55,50.22237427300718,1468,220,46.38181818181818
time,3,51,50.56448853917208,1478,230,50.07826086956522
time,1,54,49.12760862127951,1436,202,47.81683168316832
time,0,57,49.880260006842285,1458,218,54.04128440366973
time,2,56,50.25658569962368,1469,221,46.44343891402715
time,3,52,50.701334245638044,1482,234,50.282051282051285
time,0,58,49.880260006842285,1458,219,53.926940639269404
time,1,55,49.12760862127951,1436,202,47.81683168316832
time,2,57,50.461854259322614,1475,221,46.4027149321267
time,3,53,50.838179952104,1486,237,50.50632911392405
time,1,56,49.23024290112898,1439,203,48.78817733990148
time,0,59,50.359219979473146,1472,221,53.86425339366516
time,2,58,50.461854259322614,1475,221,46.34841628959276
time,3,54,50.87239137872049,1487,238,50.31512605042017
time,1,57,49.469722887444405,1446,204,48.51960784313726
time,0,60,50.359219979473146,1472,220,53.81363636363636
time,2,59,50.461854259322614,1475,222,46.33783783783784
time,3,55,50.97502565856996,1490,238,49.97478991596638
time,1,58,49.5039343140609,1447,204,48.490196078431374
time,0,61,50.39343140608964,1473,221,53.8235294117647
time,2,60,50.461854259322614,1475,222,46.32432432432432
time,3,56,51.111871365035924,1494,242,51.29752066115702
time,1,59,49.5039343140609,1447,205,48.25853658536585
time,0,62,50.39343140608964,1473,222,53.63513513513514
time,3,57,51.14608279165241,1495,243,51.148148148148145
time,2,61,50.461854259322614,1475,223,46.237668161434975
time,1,60,49.640780020526854,1451,206,48.08252427184466
time,0,63,50.39343140608964,1473,222,53.414414414414416
time,3,58,51.24871707150188,1498,244,50.90573770491803
time,1,61,49.640780020526854,1451,206,48.06310679611651
time,2,62,50.49606568593911,1476,224,46.28125
time,0,64,50.39343140608964,1473,222,53.414414414414416
time,3,59,51.24871707150188,1498,245,50.72244897959184
time,6,0,30.448169688676018,890,40,38.225
time,1,62,49.74341430037633,1454,209,47.82775119617225
time,2,63,50.53027711255559,1477,225,46.24888888888889
time,5,0,33.11666096476223,968,43,44.627906976744185
time,0,65,50.39343140608964,1473,223,53.38565022421525
time,6,1,33.25350667122819,972,57,41.64912280701754
