crate,run,gen,mir_coverage,covered_targets,tests,tests_length
time,2,36,56.44885391720835,1650,261,29.026819923371647
time,0,21,54.94355114608279,1606,236,30.550847457627118
time,1,20,54.77249401300034,1601,250,31.532
time,2,37,56.722545330140264,1658,262,29.087786259541986
time,0,22,55.08039685254875,1610,241,30.42738589211618
time,1,21,54.77249401300034,1601,247,31.20242914979757
time,2,38,56.722545330140264,1658,263,28.73384030418251
time,1,22,54.94355114608279,1606,253,30.984189723320156
time,0,23,55.18303113239822,1613,242,30.107438016528924
time,1,23,55.18303113239822,1613,254,30.89763779527559
time,2,39,56.790968183373245,1660,265,28.456603773584906
time,0,24,55.45672254533014,1621,243,29.938271604938272
time,1,24,55.35408826548067,1618,257,30.992217898832685
time,2,40,56.790968183373245,1660,263,28.395437262357415
time,0,25,55.559356825179606,1624,248,29.762096774193548
time,2,41,56.790968183373245,1660,263,28.23574144486692
time,1,25,55.35408826548067,1618,256,30.47265625
time,0,26,55.69620253164557,1628,251,29.52191235059761
time,2,42,56.85939103660622,1662,263,28.361216730038024
time,1,26,55.627779678412594,1626,257,30.474708171206224
time,0,27,56.10673965104345,1640,255,29.50980392156863
time,2,43,56.85939103660622,1662,265,28.184905660377357
time,1,27,55.66199110502909,1627,262,30.38167938931298
time,0,28,56.10673965104345,1640,258,29.046511627906977
time,1,28,55.93568251796099,1635,266,30.44736842105263
time,2,44,56.92781388983921,1664,268,28.104477611940297
time,0,29,56.10673965104345,1640,257,28.77431906614786
time,1,29,55.93568251796099,1635,270,30.18148148148148
time,2,45,56.99623674307218,1666,266,28.402255639097746
time,0,30,56.17516250427643,1642,260,28.93846153846154
time,1,30,55.969893944577485,1636,271,30.081180811808117
time,2,46,57.09887102292166,1669,270,28.37037037037037
time,0,31,56.24358535750941,1644,259,28.953667953667953
time,1,31,56.17516250427643,1642,273,29.886446886446887
time,2,47,57.16729387615464,1671,274,28.416058394160583
time,0,32,56.24358535750941,1644,263,28.79087452471483
time,1,32,56.24358535750941,1644,274,29.686131386861312
time,2,48,57.16729387615464,1671,277,28.27436823104693
time,2,0,34.998289428669175,1023,45,52.62222222222222
time,2,1,38.966814916182,1139,76,48.68421052631579
time,2,2,41.43003763256928,1211,97,42.824742268041234
time,2,3,44.4064317482039,1298,120,41.21666666666667
time,2,4,46.835443037974684,1369,141,40.02836879432624
time,2,5,48.306534382483754,1412,154,40
time,2,6,49.12760862127951,1436,161,39.3416149068323
time,2,7,49.84604858022579,1457,172,38.825581395348834
time,2,8,50.63291139240506,1480,178,37.30337078651685
time,2,9,51.180294218268905,1496,182,36.879120879120876
time,2,10,51.453985631200815,1504,182,35.620879120879124
time,2,11,51.93294560383168,1518,188,35.026595744680854
