crate,run,gen,mir_coverage,covered_targets,tests,tests_length
time,0,0,50.94081423195347,1489,204,32.872549019607845
time,1,0,51.38556277796784,1502,218,34.21559633027523
time,2,0,49.5039343140609,1447,219,34.6986301369863
time,0,1,50.94081423195347,1489,205,32.66829268292683
time,1,1,52.17242559014711,1525,226,34.203539823008846
time,2,1,49.640780020526854,1451,223,34.90582959641256
time,0,2,51.180294218268905,1496,209,32.655502392344495
time,0,3,51.48819705781731,1505,216,33.11574074074074
time,1,2,52.44611700307903,1533,226,34.4070796460177
time,2,2,49.84604858022579,1457,228,35.074561403508774
time,0,4,51.59083133766678,1508,217,33.26728110599078
time,1,3,52.44611700307903,1533,228,34.37280701754386
time,2,3,51.009237085186456,1491,231,35.64935064935065
time,1,4,52.5487512829285,1536,228,35.12280701754386
time,0,5,51.89873417721519,1517,219,33.54794520547945
time,2,4,51.04344851180295,1492,232,36.03879310344828
time,1,5,52.61717413616148,1538,231,34.96969696969697
time,0,6,51.96715703044818,1519,223,33.80269058295964
time,2,5,51.79609989736572,1514,236,36.30508474576271
time,1,6,52.71980841601095,1541,233,35.01716738197425
time,2,6,51.93294560383168,1518,240,36.46666666666667
time,0,7,52.06979131029764,1522,225,34.19555555555556
time,1,7,52.925076975709885,1547,236,35.03389830508475
time,2,7,51.96715703044818,1519,244,36.50819672131148
time,0,8,52.2066370167636,1526,231,35.37662337662338
time,1,8,53.06192268217585,1551,239,35.23430962343096
time,2,8,52.275059869996575,1528,245,36.50204081632653
time,0,9,52.30927129661307,1529,231,35.39393939393939
time,1,9,53.16455696202531,1554,242,35.47520661157025
time,2,9,52.82244269586042,1544,247,37.044534412955464
time,0,10,52.44611700307903,1533,234,35.48290598290598
time,1,10,53.2329798152583,1556,241,35.62655601659751
time,2,10,52.82244269586042,1544,247,36.96761133603239
time,0,11,52.58296270954499,1537,238,35.68487394957983
time,1,11,53.36982552172426,1560,243,35.80246913580247
time,2,11,52.82244269586042,1544,248,36.875
time,0,12,52.58296270954499,1537,239,35.63179916317991
time,1,12,53.60930550803968,1567,244,35.96311475409836
time,2,12,52.925076975709885,1547,249,36.83132530120482
time,0,13,52.61717413616148,1538,240,35.65
time,1,13,53.60930550803968,1567,244,35.84426229508197
time,2,13,53.06192268217585,1551,250,37.6
time,0,14,52.71980841601095,1541,242,35.68595041322314
time,1,14,53.643516934656176,1568,246,35.91056910569106
time,2,14,53.13034553540883,1553,249,37.377510040160644
time,0,15,52.75401984262744,1542,243,35.45679012345679
time,1,15,53.746151214505645,1571,248,36.07661290322581
time,2,15,53.13034553540883,1553,249,37.16465863453815
time,0,16,52.75401984262744,1542,243,35.21399176954733
time,1,16,53.746151214505645,1571,248,36.016129032258064
time,2,16,53.1987683886418,1555,251,37.191235059760956
time,0,17,52.75401984262744,1542,244,35.040983606557376
time,1,17,53.78036264112214,1572,248,35.935483870967744
time,2,17,53.30140266849127,1558,253,37.209486166007906
time,1,18,53.88299692097161,1575,248,36.024193548387096
time,0,18,52.78823126924392,1543,246,35.020325203252035
time,2,18,53.54088265480671,1565,254,37.35826771653543
time,1,19,53.95141977420459,1577,249,36.140562248995984
time,0,19,52.85665412247691,1545,247,35.23076923076923
time,1,20,53.95141977420459,1577,249,36.10843373493976
time,2,19,53.54088265480671,1565,254,37.326771653543304
time,0,20,53.13034553540883,1553,248,35.29838709677419
time,1,21,53.95141977420459,1577,248,36.100806451612904
time,2,20,53.54088265480671,1565,255,37.294117647058826
time,0,21,53.13034553540883,1553,249,35.265060240963855
time,1,22,54.01984262743756,1579,251,36.354581673306775
time,2,21,53.60930550803968,1567,256,37.390625
time,0,22,53.43824837495723,1562,251,35.02788844621514
time,1,23,54.054054054054056,1580,252,36.32936507936508
time,2,22,53.71193978788915,1570,258,37.55813953488372
time,0,23,53.43824837495723,1562,251,35.0199203187251
time,2,23,53.71193978788915,1570,259,37.43629343629344
time,1,24,54.43037974683544,1591,254,36.41338582677165
time,0,24,53.54088265480671,1565,252,35.1468253968254
time,2,24,53.71193978788915,1570,260,37.41153846153846
time,1,25,54.43037974683544,1591,255,36.41960784313726
time,0,25,53.54088265480671,1565,252,34.904761904761905
time,1,26,54.464591173451936,1592,257,36.52918287937743
time,2,25,53.95141977420459,1577,262,37.62213740458015
time,0,26,53.60930550803968,1567,254,34.86614173228347
time,1,27,54.567225453301404,1595,259,36.38610038610039
time,2,26,54.054054054054056,1580,263,37.61977186311787
time,0,27,53.71193978788915,1570,257,34.96498054474708
time,1,28,54.567225453301404,1595,260,36.36153846153846
time,2,27,54.25932261375299,1586,265,37.75471698113208
time,1,29,54.567225453301404,1595,261,36.298850574712645
time,0,28,53.81457406773863,1573,258,35.27906976744186
time,2,28,54.25932261375299,1586,265,37.75471698113208
time,1,30,54.567225453301404,1595,261,36.298850574712645
time,0,29,53.88299692097161,1575,259,35.33204633204633
time,2,29,54.25932261375299,1586,265,37.69056603773585
time,1,31,54.63564830653438,1597,262,35.86641221374046
