Crate,Algorithm,Length
gamie,Random Search,66
gamie,Random Search,59
gamie,Random Search,67
gamie,Random Search,60
gamie,Random Search,67
gamie,Random Search,68
gamie,Random Search,68
gamie,Random Search,59
gamie,Random Search,67
gamie,Random Search,55
gamie,Random Search,71
gamie,Random Search,62
gamie,Random Search,60
gamie,Random Search,66
gamie,Random Search,68
gamie,Random Search,58
gamie,Random Search,67
gamie,Random Search,62
gamie,Random Search,65
gamie,Random Search,59
gamie,Random Search,68
gamie,Random Search,65
gamie,Random Search,59
gamie,Random Search,64
gamie,Random Search,61
gamie,Random Search,71
gamie,Random Search,55
gamie,Random Search,57
gamie,Random Search,54
gamie,Random Search,66
gamie,DynaMOSA,69
gamie,DynaMOSA,70
gamie,DynaMOSA,65
gamie,DynaMOSA,64
gamie,DynaMOSA,67
gamie,DynaMOSA,69
gamie,DynaMOSA,66
gamie,DynaMOSA,65
gamie,DynaMOSA,65
gamie,DynaMOSA,70
gamie,DynaMOSA,68
gamie,DynaMOSA,67
gamie,DynaMOSA,65
gamie,DynaMOSA,66
gamie,DynaMOSA,68
gamie,DynaMOSA,66
gamie,DynaMOSA,67
gamie,DynaMOSA,68
gamie,DynaMOSA,66
gamie,DynaMOSA,68
gamie,DynaMOSA,67
gamie,DynaMOSA,65
gamie,DynaMOSA,70
gamie,DynaMOSA,70
gamie,DynaMOSA,64
gamie,DynaMOSA,65
gamie,DynaMOSA,67
gamie,DynaMOSA,65
gamie,DynaMOSA,70
gamie,DynaMOSA,70
