Crate,Algorithm,Length
nom,Random Search,54
nom,Random Search,60
nom,Random Search,57
nom,Random Search,62
nom,Random Search,57
nom,Random Search,57
nom,Random Search,58
nom,Random Search,59
nom,Random Search,59
nom,Random Search,57
nom,Random Search,56
nom,Random Search,56
nom,Random Search,58
nom,Random Search,55
nom,Random Search,54
nom,Random Search,62
nom,Random Search,62
nom,Random Search,57
nom,Random Search,62
nom,Random Search,57
nom,Random Search,59
nom,Random Search,57
nom,Random Search,45
nom,Random Search,61
nom,Random Search,60
nom,Random Search,56
nom,Random Search,54
nom,Random Search,57
nom,Random Search,61
nom,Random Search,59
nom,DynaMOSA,50
nom,DynaMOSA,53
nom,DynaMOSA,51
nom,DynaMOSA,54
nom,DynaMOSA,50
nom,DynaMOSA,54
nom,DynaMOSA,49
nom,DynaMOSA,54
nom,DynaMOSA,54
nom,DynaMOSA,52
nom,DynaMOSA,52
nom,DynaMOSA,53
nom,DynaMOSA,51
nom,DynaMOSA,50
nom,DynaMOSA,49
nom,DynaMOSA,48
nom,DynaMOSA,53
nom,DynaMOSA,50
nom,DynaMOSA,51
nom,DynaMOSA,49
nom,DynaMOSA,54
nom,DynaMOSA,50
nom,DynaMOSA,52
nom,DynaMOSA,51
nom,DynaMOSA,48
nom,DynaMOSA,52
nom,DynaMOSA,48
nom,DynaMOSA,49
nom,DynaMOSA,48
nom,DynaMOSA,48
