Crate,Algorithm,Length
url,Random Search,64
url,Random Search,60
url,Random Search,61
url,Random Search,68
url,Random Search,62
url,Random Search,60
url,Random Search,65
url,Random Search,61
url,Random Search,64
url,Random Search,63
url,Random Search,64
url,Random Search,56
url,Random Search,55
url,Random Search,55
url,Random Search,69
url,Random Search,56
url,Random Search,67
url,Random Search,63
url,Random Search,67
url,Random Search,65
url,Random Search,56
url,Random Search,59
url,Random Search,69
url,Random Search,58
url,Random Search,59
url,Random Search,60
url,Random Search,69
url,Random Search,62
url,Random Search,68
url,Random Search,70
url,DynaMOSA,46
url,DynaMOSA,45
url,DynaMOSA,43
url,DynaMOSA,48
url,DynaMOSA,42
url,DynaMOSA,47
url,DynaMOSA,48
url,DynaMOSA,48
url,DynaMOSA,44
url,DynaMOSA,43
url,DynaMOSA,48
url,DynaMOSA,49
url,DynaMOSA,48
url,DynaMOSA,46
url,DynaMOSA,47
url,DynaMOSA,42
url,DynaMOSA,46
url,DynaMOSA,43
url,DynaMOSA,42
url,DynaMOSA,42
url,DynaMOSA,43
url,DynaMOSA,48
url,DynaMOSA,43
url,DynaMOSA,42
url,DynaMOSA,43
url,DynaMOSA,43
url,DynaMOSA,48
url,DynaMOSA,42
url,DynaMOSA,42
url,DynaMOSA,44
